User_ID,Item1_ID,Item2_ID
1,2,1
1,3,1
1,1,4
1,5,1
1,6,1
1,3,2
1,4,2
1,5,2
1,6,2
1,3,4
1,5,3
1,6,3
1,5,4
1,6,4
1,6,5
2,1,2
2,3,1
2,1,4
2,5,1
2,1,6
2,3,2
2,2,4
2,5,2
2,2,6
2,3,4
2,5,3
2,3,6
2,5,4
2,4,6
2,6,5
3,2,1
3,1,3
3,1,4
3,1,5
3,6,1
3,3,2
3,4,2
3,2,5
3,2,6
3,3,4
3,5,3
3,6,3
3,4,5
3,4,6
3,5,6
4,1,2
4,1,3
4,1,4
4,1,5
4,1,6
4,2,3
4,2,4
4,2,5
4,2,6
4,3,4
4,3,5
4,3,6
4,4,5
4,4,6
4,5,6
5,2,1
5,3,1
5,4,1
5,5,1
5,6,1
5,2,3
5,2,4
5,2,5
5,2,6
5,4,3
5,5,3
5,6,3
5,5,4
5,4,6
5,5,6
6,2,1
6,3,1
6,4,1
6,5,1
6,6,1
6,2,3
6,4,2
6,5,2
6,6,2
6,3,4
6,5,3
6,6,3
6,5,4
6,4,6
6,6,5
7,2,1
7,3,1
7,4,1
7,5,1
7,6,1
7,2,3
7,4,2
7,5,2
7,2,6
7,4,3
7,5,3
7,3,6
7,5,4
7,6,4
7,5,6
8,2,1
8,3,1
8,4,1
8,5,1
8,1,6
8,3,2
8,4,2
8,2,5
8,6,2
8,4,3
8,3,5
8,3,6
8,4,5
8,4,6
8,5,6
9,2,1
9,3,1
9,4,1
9,5,1
9,6,1
9,3,2
9,4,2
9,5,2
9,6,2
9,4,3
9,5,3
9,6,3
9,5,4
9,6,4
9,6,5
10,2,1
10,3,1
10,4,1
10,5,1
10,6,1
10,2,3
10,4,2
10,2,5
10,2,6
10,4,3
10,5,3
10,6,3
10,4,5
10,4,6
10,5,6
11,2,1
11,3,1
11,1,4
11,5,1
11,6,1
11,3,2
11,4,2
11,5,2
11,6,2
11,4,3
11,5,3
11,6,3
11,4,5
11,4,6
11,6,5
12,1,2
12,3,1
12,1,4
12,5,1
12,1,6
12,3,2
12,2,4
12,5,2
12,2,6
12,3,4
12,5,3
12,3,6
12,5,4
12,6,4
12,6,5
13,2,1
13,1,3
13,1,4
13,5,1
13,6,1
13,3,2
13,4,2
13,2,5
13,2,6
13,3,4
13,5,3
13,6,3
13,4,5
13,6,4
13,5,6
14,1,2
14,1,3
14,1,4
14,1,5
14,1,6
14,2,3
14,2,4
14,2,5
14,2,6
14,3,4
14,3,5
14,3,6
14,4,5
14,4,6
14,5,6
15,2,1
15,3,1
15,4,1
15,5,1
15,6,1
15,2,3
15,2,4
15,2,5
15,2,6
15,4,3
15,5,3
15,6,3
15,5,4
15,4,6
15,5,6
16,2,1
16,3,1
16,4,1
16,5,1
16,6,1
16,2,3
16,4,2
16,5,2
16,6,2
16,3,4
16,5,3
16,6,3
16,5,4
16,4,6
16,6,5
17,2,1
17,1,3
17,4,1
17,5,1
17,6,1
17,2,3
17,4,2
17,5,2
17,2,6
17,4,3
17,5,3
17,3,6
17,5,4
17,6,4
17,5,6
18,2,1
18,3,1
18,4,1
18,5,1
18,1,6
18,3,2
18,4,2
18,2,5
18,6,2
18,4,3
18,5,3
18,3,6
18,5,4
18,4,6
18,5,6
19,2,1
19,3,1
19,4,1
19,5,1
19,6,1
19,3,2
19,4,2
19,5,2
19,6,2
19,4,3
19,5,3
19,6,3
19,5,4
19,6,4
19,6,5
20,2,1
20,3,1
20,4,1
20,5,1
20,6,1
20,2,3
20,4,2
20,5,2
20,2,6
20,4,3
20,5,3
20,6,3
20,4,5
20,4,6
20,5,6
